field_1,lfenzid,lake_name,site,indicator,indicator_name,measurement,value,units,tli_band,nof_band,max_nof_band,national_bottom_line,max_national_bottom_line,lake_category,lake_type,lake_volume,nzsegment,lat,long,region,depth_bin,human_modified,period,n_leftcensored,n_rightcensored,dl,al,imputed_lower,imputed_upper,n_values,n_month,n_qtr,n_years,filter_ok,incl_ineq
4698,38974,Lake Brunner (Moana),WCRC-00065,CLAR,Clarity,80th,6.07,m,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,1475485312,12079923,-42.61164694,171.5005351,West Coast,> 50 m,19.47843643,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,60,60,20,5,TRUE,6.07
4699,38974,Lake Brunner (Moana),WCRC-00065,CLAR,Clarity,95th,6.9025,m,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,1475485312,12079923,-42.61164694,171.5005351,West Coast,> 50 m,19.47843643,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,60,60,20,5,TRUE,6.9025
4700,38974,Lake Brunner (Moana),WCRC-00065,CLAR,Clarity,Annual maximum,7.28,m,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,1475485312,12079923,-42.61164694,171.5005351,West Coast,> 50 m,19.47843643,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,60,60,20,5,TRUE,7.28
4701,38974,Lake Brunner (Moana),WCRC-00065,TLI3,Trophic level index 3,5th,2.53952,NA,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,1475485312,12079923,-42.61164694,171.5005351,West Coast,> 50 m,19.47843643,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,29,29,20,5,TRUE,2.53952
4702,38974,Lake Brunner (Moana),WCRC-00065,TLI3,Trophic level index 3,20th,2.78345,NA,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,1475485312,12079923,-42.61164694,171.5005351,West Coast,> 50 m,19.47843643,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,29,29,20,5,TRUE,2.78345
4703,38974,Lake Brunner (Moana),WCRC-00065,TLI3,Trophic level index 3,25th,2.83845,NA,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,1475485312,12079923,-42.61164694,171.5005351,West Coast,> 50 m,19.47843643,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,29,29,20,5,TRUE,2.83845
4704,38974,Lake Brunner (Moana),WCRC-00065,TLI3,Trophic level index 3,Median,3.01211,NA,Mesotrophic (average),NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,1475485312,12079923,-42.61164694,171.5005351,West Coast,> 50 m,19.47843643,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,29,29,20,5,TRUE,3.01211
4705,38974,Lake Brunner (Moana),WCRC-00065,TLI3,Trophic level index 3,75th,3.20277,NA,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,1475485312,12079923,-42.61164694,171.5005351,West Coast,> 50 m,19.47843643,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,29,29,20,5,TRUE,3.20277
4706,38974,Lake Brunner (Moana),WCRC-00065,TLI3,Trophic level index 3,80th,3.22922,NA,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,1475485312,12079923,-42.61164694,171.5005351,West Coast,> 50 m,19.47843643,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,29,29,20,5,TRUE,3.22922
4834,39357,Lake Sheppard,ECAN-00364,CHLA,Chlorophyll-a,80th,5.7,mg/m3,NA,NA,B,NA,FALSE,Polymictic,Polymictic,8935281,13088552,-42.76132306,172.2519125,Canterbury,15-50 m,23.73972309,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,9,9,4,2,FALSE,5.7
4707,38974,Lake Brunner (Moana),WCRC-00065,TLI3,Trophic level index 3,95th,3.52832,NA,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,1475485312,12079923,-42.61164694,171.5005351,West Coast,> 50 m,19.47843643,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,29,29,20,5,TRUE,3.52832
4708,38974,Lake Brunner (Moana),WCRC-00065,TLI3,Trophic level index 3,Annual maximum,3.580700046,NA,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,1475485312,12079923,-42.61164694,171.5005351,West Coast,> 50 m,19.47843643,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,29,29,20,5,TRUE,3.580700046
4709,38974,Lake Brunner (Moana),WCRC-00065,TLI4,Trophic level index 4,5th,2.75448,NA,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,1475485312,12079923,-42.61164694,171.5005351,West Coast,> 50 m,19.47843643,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,29,29,20,5,TRUE,2.75448
4710,38974,Lake Brunner (Moana),WCRC-00065,TLI4,Trophic level index 4,20th,2.91491,NA,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,1475485312,12079923,-42.61164694,171.5005351,West Coast,> 50 m,19.47843643,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,29,29,20,5,TRUE,2.91491
4711,38974,Lake Brunner (Moana),WCRC-00065,TLI4,Trophic level index 4,25th,2.9305,NA,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,1475485312,12079923,-42.61164694,171.5005351,West Coast,> 50 m,19.47843643,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,29,29,20,5,TRUE,2.9305
4712,38974,Lake Brunner (Moana),WCRC-00065,TLI4,Trophic level index 4,Median,3.08458,NA,Mesotrophic (average),NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,1475485312,12079923,-42.61164694,171.5005351,West Coast,> 50 m,19.47843643,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,29,29,20,5,TRUE,3.08458
4713,38974,Lake Brunner (Moana),WCRC-00065,TLI4,Trophic level index 4,75th,3.26121,NA,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,1475485312,12079923,-42.61164694,171.5005351,West Coast,> 50 m,19.47843643,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,29,29,20,5,TRUE,3.26121
4714,38974,Lake Brunner (Moana),WCRC-00065,TLI4,Trophic level index 4,80th,3.31352,NA,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,1475485312,12079923,-42.61164694,171.5005351,West Coast,> 50 m,19.47843643,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,29,29,20,5,TRUE,3.31352
4715,38974,Lake Brunner (Moana),WCRC-00065,TLI4,Trophic level index 4,95th,3.5432,NA,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,1475485312,12079923,-42.61164694,171.5005351,West Coast,> 50 m,19.47843643,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,29,29,20,5,TRUE,3.5432
4716,38974,Lake Brunner (Moana),WCRC-00065,TLI4,Trophic level index 4,Annual maximum,3.569147652,NA,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,1475485312,12079923,-42.61164694,171.5005351,West Coast,> 50 m,19.47843643,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,29,29,20,5,TRUE,3.569147652
4717,38974,Lake Brunner (Moana),WCRC-00065,TN,Total nitrogen,5th,0.175,mg/L,NA,NA,B,NA,FALSE,Seasonally stratified and brackish,Stratified,1475485312,12079923,-42.61164694,171.5005351,West Coast,> 50 m,19.47843643,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,31,31,20,5,TRUE,0.175
4718,38974,Lake Brunner (Moana),WCRC-00065,TN,Total nitrogen,20th,0.1884,mg/L,NA,NA,B,NA,FALSE,Seasonally stratified and brackish,Stratified,1475485312,12079923,-42.61164694,171.5005351,West Coast,> 50 m,19.47843643,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,31,31,20,5,TRUE,0.1884
4719,38974,Lake Brunner (Moana),WCRC-00065,TN,Total nitrogen,25th,0.193,mg/L,NA,NA,B,NA,FALSE,Seasonally stratified and brackish,Stratified,1475485312,12079923,-42.61164694,171.5005351,West Coast,> 50 m,19.47843643,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,31,31,20,5,TRUE,0.193
4720,38974,Lake Brunner (Moana),WCRC-00065,TN,Total nitrogen,Median,0.217,mg/L,NA,B,B,FALSE,FALSE,Seasonally stratified and brackish,Stratified,1475485312,12079923,-42.61164694,171.5005351,West Coast,> 50 m,19.47843643,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,31,31,20,5,TRUE,0.217
4721,38974,Lake Brunner (Moana),WCRC-00065,TN,Total nitrogen,75th,0.236,mg/L,NA,NA,B,NA,FALSE,Seasonally stratified and brackish,Stratified,1475485312,12079923,-42.61164694,171.5005351,West Coast,> 50 m,19.47843643,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,31,31,20,5,TRUE,0.236
4722,38974,Lake Brunner (Moana),WCRC-00065,TN,Total nitrogen,80th,0.2408,mg/L,NA,NA,B,NA,FALSE,Seasonally stratified and brackish,Stratified,1475485312,12079923,-42.61164694,171.5005351,West Coast,> 50 m,19.47843643,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,31,31,20,5,TRUE,0.2408
4723,38974,Lake Brunner (Moana),WCRC-00065,TN,Total nitrogen,95th,0.25965,mg/L,NA,NA,B,NA,FALSE,Seasonally stratified and brackish,Stratified,1475485312,12079923,-42.61164694,171.5005351,West Coast,> 50 m,19.47843643,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,31,31,20,5,TRUE,0.25965
4724,38974,Lake Brunner (Moana),WCRC-00065,TN,Total nitrogen,Annual maximum,0.295,mg/L,NA,NA,B,NA,FALSE,Seasonally stratified and brackish,Stratified,1475485312,12079923,-42.61164694,171.5005351,West Coast,> 50 m,19.47843643,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,31,31,20,5,TRUE,0.295
4725,38974,Lake Brunner (Moana),WCRC-00065,TP,Total phosphorus,5th,0.00505,mg/L,NA,NA,A,NA,FALSE,Seasonally stratified and brackish,Stratified,1475485312,12079923,-42.61164694,171.5005351,West Coast,> 50 m,19.47843643,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,31,31,20,5,TRUE,0.00505
4726,38974,Lake Brunner (Moana),WCRC-00065,TP,Total phosphorus,20th,0.006,mg/L,NA,NA,A,NA,FALSE,Seasonally stratified and brackish,Stratified,1475485312,12079923,-42.61164694,171.5005351,West Coast,> 50 m,19.47843643,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,31,31,20,5,TRUE,0.006
5035,40188,Lake Rotoehu,EBOP-00091,NH4N,Ammoniacal nitrogen,95th,0.1813,mg/L,NA,NA,NA,NA,NA,Polymictic,Polymictic,35554380,4081174,-38.02439483,176.5349362,Bay of Plenty,5-15 m,61.51731099,2016-2020,1,0,0,NA,Imputed,No censored - no imputation required,64,55,20,5,TRUE,0.1813
4727,38974,Lake Brunner (Moana),WCRC-00065,TP,Total phosphorus,25th,0.00625,mg/L,NA,NA,A,NA,FALSE,Seasonally stratified and brackish,Stratified,1475485312,12079923,-42.61164694,171.5005351,West Coast,> 50 m,19.47843643,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,31,31,20,5,TRUE,0.00625
4728,38974,Lake Brunner (Moana),WCRC-00065,TP,Total phosphorus,Median,0.008,mg/L,NA,A,A,FALSE,FALSE,Seasonally stratified and brackish,Stratified,1475485312,12079923,-42.61164694,171.5005351,West Coast,> 50 m,19.47843643,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,31,31,20,5,TRUE,0.008
4729,38974,Lake Brunner (Moana),WCRC-00065,TP,Total phosphorus,75th,0.009,mg/L,NA,NA,A,NA,FALSE,Seasonally stratified and brackish,Stratified,1475485312,12079923,-42.61164694,171.5005351,West Coast,> 50 m,19.47843643,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,31,31,20,5,TRUE,0.009
4730,38974,Lake Brunner (Moana),WCRC-00065,TP,Total phosphorus,80th,0.0093,mg/L,NA,NA,A,NA,FALSE,Seasonally stratified and brackish,Stratified,1475485312,12079923,-42.61164694,171.5005351,West Coast,> 50 m,19.47843643,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,31,31,20,5,TRUE,0.0093
4731,38974,Lake Brunner (Moana),WCRC-00065,TP,Total phosphorus,95th,0.0148,mg/L,NA,NA,A,NA,FALSE,Seasonally stratified and brackish,Stratified,1475485312,12079923,-42.61164694,171.5005351,West Coast,> 50 m,19.47843643,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,31,31,20,5,TRUE,0.0148
4732,38974,Lake Brunner (Moana),WCRC-00065,TP,Total phosphorus,Annual maximum,0.015,mg/L,NA,NA,A,NA,FALSE,Seasonally stratified and brackish,Stratified,1475485312,12079923,-42.61164694,171.5005351,West Coast,> 50 m,19.47843643,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,31,31,20,5,TRUE,0.015
4733,39225,Lake Haupiri,WCRC-00067,CHLA,Chlorophyll-a,5th,0.295,mg/m3,NA,NA,B,NA,FALSE,Seasonally stratified and brackish,Stratified,13429257,12079782,-42.56671108,171.6893659,West Coast,15-50 m,13.35943664,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,29,29,20,5,TRUE,0.295
4734,39225,Lake Haupiri,WCRC-00067,CHLA,Chlorophyll-a,20th,0.5059,mg/m3,NA,NA,B,NA,FALSE,Seasonally stratified and brackish,Stratified,13429257,12079782,-42.56671108,171.6893659,West Coast,15-50 m,13.35943664,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,29,29,20,5,TRUE,0.5059
4735,39225,Lake Haupiri,WCRC-00067,CHLA,Chlorophyll-a,25th,0.58575,mg/m3,NA,NA,B,NA,FALSE,Seasonally stratified and brackish,Stratified,13429257,12079782,-42.56671108,171.6893659,West Coast,15-50 m,13.35943664,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,29,29,20,5,TRUE,0.58575
4736,39225,Lake Haupiri,WCRC-00067,CHLA,Chlorophyll-a,Median,1.5,mg/m3,NA,A,B,FALSE,FALSE,Seasonally stratified and brackish,Stratified,13429257,12079782,-42.56671108,171.6893659,West Coast,15-50 m,13.35943664,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,29,29,20,5,TRUE,1.5
4737,39225,Lake Haupiri,WCRC-00067,CHLA,Chlorophyll-a,75th,3.04,mg/m3,NA,NA,B,NA,FALSE,Seasonally stratified and brackish,Stratified,13429257,12079782,-42.56671108,171.6893659,West Coast,15-50 m,13.35943664,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,29,29,20,5,TRUE,3.04
4738,39225,Lake Haupiri,WCRC-00067,CHLA,Chlorophyll-a,80th,3.279,mg/m3,NA,NA,B,NA,FALSE,Seasonally stratified and brackish,Stratified,13429257,12079782,-42.56671108,171.6893659,West Coast,15-50 m,13.35943664,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,29,29,20,5,TRUE,3.279
4739,39225,Lake Haupiri,WCRC-00067,CHLA,Chlorophyll-a,95th,5.646,mg/m3,NA,NA,B,NA,FALSE,Seasonally stratified and brackish,Stratified,13429257,12079782,-42.56671108,171.6893659,West Coast,15-50 m,13.35943664,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,29,29,20,5,TRUE,5.646
4740,39225,Lake Haupiri,WCRC-00067,CHLA,Chlorophyll-a,Annual maximum,10.7,mg/m3,NA,B,B,FALSE,FALSE,Seasonally stratified and brackish,Stratified,13429257,12079782,-42.56671108,171.6893659,West Coast,15-50 m,13.35943664,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,29,29,20,5,TRUE,10.7
4741,39225,Lake Haupiri,WCRC-00067,NH4N,Ammoniacal nitrogen,5th,0.00985,mg/L,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,13429257,12079782,-42.56671108,171.6893659,West Coast,15-50 m,13.35943664,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,29,29,20,5,TRUE,0.00985
4742,39225,Lake Haupiri,WCRC-00067,NH4N,Ammoniacal nitrogen,20th,0.0123,mg/L,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,13429257,12079782,-42.56671108,171.6893659,West Coast,15-50 m,13.35943664,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,29,29,20,5,TRUE,0.0123
4743,39225,Lake Haupiri,WCRC-00067,NH4N,Ammoniacal nitrogen,25th,0.013,mg/L,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,13429257,12079782,-42.56671108,171.6893659,West Coast,15-50 m,13.35943664,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,29,29,20,5,TRUE,0.013
4744,39225,Lake Haupiri,WCRC-00067,NH4N,Ammoniacal nitrogen,Median,0.021,mg/L,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,13429257,12079782,-42.56671108,171.6893659,West Coast,15-50 m,13.35943664,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,29,29,20,5,TRUE,0.021
4745,39225,Lake Haupiri,WCRC-00067,NH4N,Ammoniacal nitrogen,75th,0.02525,mg/L,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,13429257,12079782,-42.56671108,171.6893659,West Coast,15-50 m,13.35943664,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,29,29,20,5,TRUE,0.02525
4746,39225,Lake Haupiri,WCRC-00067,NH4N,Ammoniacal nitrogen,80th,0.0288,mg/L,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,13429257,12079782,-42.56671108,171.6893659,West Coast,15-50 m,13.35943664,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,29,29,20,5,TRUE,0.0288
4747,39225,Lake Haupiri,WCRC-00067,NH4N,Ammoniacal nitrogen,95th,0.0321,mg/L,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,13429257,12079782,-42.56671108,171.6893659,West Coast,15-50 m,13.35943664,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,29,29,20,5,TRUE,0.0321
4748,39225,Lake Haupiri,WCRC-00067,NH4N,Ammoniacal nitrogen,Annual maximum,0.034,mg/L,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,13429257,12079782,-42.56671108,171.6893659,West Coast,15-50 m,13.35943664,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,29,29,20,5,TRUE,0.034
4749,39225,Lake Haupiri,WCRC-00067,NO3N,Nitrate-nitrogen,5th,0.0475,mg/L,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,13429257,12079782,-42.56671108,171.6893659,West Coast,15-50 m,13.35943664,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,29,29,20,5,TRUE,0.0475
4750,39225,Lake Haupiri,WCRC-00067,NO3N,Nitrate-nitrogen,20th,0.0695,mg/L,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,13429257,12079782,-42.56671108,171.6893659,West Coast,15-50 m,13.35943664,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,29,29,20,5,TRUE,0.0695
4751,39225,Lake Haupiri,WCRC-00067,NO3N,Nitrate-nitrogen,25th,0.08275,mg/L,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,13429257,12079782,-42.56671108,171.6893659,West Coast,15-50 m,13.35943664,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,29,29,20,5,TRUE,0.08275
4752,39225,Lake Haupiri,WCRC-00067,NO3N,Nitrate-nitrogen,Median,0.11,mg/L,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,13429257,12079782,-42.56671108,171.6893659,West Coast,15-50 m,13.35943664,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,29,29,20,5,TRUE,0.11
4753,39225,Lake Haupiri,WCRC-00067,NO3N,Nitrate-nitrogen,75th,0.13575,mg/L,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,13429257,12079782,-42.56671108,171.6893659,West Coast,15-50 m,13.35943664,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,29,29,20,5,TRUE,0.13575
4754,39225,Lake Haupiri,WCRC-00067,NO3N,Nitrate-nitrogen,80th,0.145,mg/L,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,13429257,12079782,-42.56671108,171.6893659,West Coast,15-50 m,13.35943664,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,29,29,20,5,TRUE,0.145
4755,39225,Lake Haupiri,WCRC-00067,NO3N,Nitrate-nitrogen,95th,0.1853,mg/L,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,13429257,12079782,-42.56671108,171.6893659,West Coast,15-50 m,13.35943664,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,29,29,20,5,TRUE,0.1853
4756,39225,Lake Haupiri,WCRC-00067,NO3N,Nitrate-nitrogen,Annual maximum,0.191,mg/L,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,13429257,12079782,-42.56671108,171.6893659,West Coast,15-50 m,13.35943664,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,29,29,20,5,TRUE,0.191
4757,39225,Lake Haupiri,WCRC-00067,CLAR,Clarity,5th,1.75,m,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,13429257,12079782,-42.56671108,171.6893659,West Coast,15-50 m,13.35943664,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,30,30,20,5,TRUE,1.75
4758,39225,Lake Haupiri,WCRC-00067,CLAR,Clarity,20th,1.945,m,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,13429257,12079782,-42.56671108,171.6893659,West Coast,15-50 m,13.35943664,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,30,30,20,5,TRUE,1.945
4759,39225,Lake Haupiri,WCRC-00067,CLAR,Clarity,25th,1.96,m,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,13429257,12079782,-42.56671108,171.6893659,West Coast,15-50 m,13.35943664,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,30,30,20,5,TRUE,1.96
4760,39225,Lake Haupiri,WCRC-00067,CLAR,Clarity,Median,2.12,m,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,13429257,12079782,-42.56671108,171.6893659,West Coast,15-50 m,13.35943664,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,30,30,20,5,TRUE,2.12
4761,39225,Lake Haupiri,WCRC-00067,CLAR,Clarity,75th,2.24,m,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,13429257,12079782,-42.56671108,171.6893659,West Coast,15-50 m,13.35943664,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,30,30,20,5,TRUE,2.24
4762,39225,Lake Haupiri,WCRC-00067,CLAR,Clarity,80th,2.355,m,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,13429257,12079782,-42.56671108,171.6893659,West Coast,15-50 m,13.35943664,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,30,30,20,5,TRUE,2.355
4763,39225,Lake Haupiri,WCRC-00067,CLAR,Clarity,95th,2.57,m,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,13429257,12079782,-42.56671108,171.6893659,West Coast,15-50 m,13.35943664,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,30,30,20,5,TRUE,2.57
4764,39225,Lake Haupiri,WCRC-00067,CLAR,Clarity,Annual maximum,2.79,m,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,13429257,12079782,-42.56671108,171.6893659,West Coast,15-50 m,13.35943664,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,30,30,20,5,TRUE,2.79
4765,39225,Lake Haupiri,WCRC-00067,TLI3,Trophic level index 3,5th,2.77875,NA,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,13429257,12079782,-42.56671108,171.6893659,West Coast,15-50 m,13.35943664,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,29,29,20,5,TRUE,2.77875
4766,39225,Lake Haupiri,WCRC-00067,TLI3,Trophic level index 3,20th,3.01587,NA,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,13429257,12079782,-42.56671108,171.6893659,West Coast,15-50 m,13.35943664,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,29,29,20,5,TRUE,3.01587
4767,39225,Lake Haupiri,WCRC-00067,TLI3,Trophic level index 3,25th,3.09289,NA,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,13429257,12079782,-42.56671108,171.6893659,West Coast,15-50 m,13.35943664,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,29,29,20,5,TRUE,3.09289
4768,39225,Lake Haupiri,WCRC-00067,TLI3,Trophic level index 3,Median,3.44563,NA,Mesotrophic (average),NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,13429257,12079782,-42.56671108,171.6893659,West Coast,15-50 m,13.35943664,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,29,29,20,5,TRUE,3.44563
4769,39225,Lake Haupiri,WCRC-00067,TLI3,Trophic level index 3,75th,3.66145,NA,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,13429257,12079782,-42.56671108,171.6893659,West Coast,15-50 m,13.35943664,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,29,29,20,5,TRUE,3.66145
4770,39225,Lake Haupiri,WCRC-00067,TLI3,Trophic level index 3,80th,3.68013,NA,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,13429257,12079782,-42.56671108,171.6893659,West Coast,15-50 m,13.35943664,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,29,29,20,5,TRUE,3.68013
4771,39225,Lake Haupiri,WCRC-00067,TLI3,Trophic level index 3,95th,4.01997,NA,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,13429257,12079782,-42.56671108,171.6893659,West Coast,15-50 m,13.35943664,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,29,29,20,5,TRUE,4.01997
4772,39225,Lake Haupiri,WCRC-00067,TLI3,Trophic level index 3,Annual maximum,4.152710174,NA,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,13429257,12079782,-42.56671108,171.6893659,West Coast,15-50 m,13.35943664,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,29,29,20,5,TRUE,4.152710174
4773,39225,Lake Haupiri,WCRC-00067,TLI4,Trophic level index 4,5th,3.16137,NA,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,13429257,12079782,-42.56671108,171.6893659,West Coast,15-50 m,13.35943664,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,29,29,20,5,TRUE,3.16137
